county_geoid,uglg_geoid,uglg_type,f_inC
45079,4512655,place,0.028091
45079,4516000,place,0.995173
45079,4535890,place,0.692767
45079,4526305,place,1.0
45079,4502125,place,1.0
45083,4514050,place,0.981013
45083,4530985,place,0.253351
45083,4543315,place,1.0
45083,4575580,place,1.0
45083,4521265,place,1.0
47093,4740000,place,1.0
47093,4725760,place,1.0
47157,4748000,place,1.0
48029,4845288,place,0.007432
48029,4865000,place,0.999992
48029,4872296,place,1.0
48029,4879672,place,1.0
48029,4816468,place,1.0
48029,4866704,place,0.70495
48029,4864172,place,1.0
48029,4814716,place,1.0
48029,4825168,place,0.70457
48029,4853988,place,1.0
48029,4813276,place,1.0
48029,4867268,place,1.0
48029,4834628,place,1.0
48029,4833968,place,1.0
48039,4856348,place,0.879297
48039,4860164,place,1.0
48113,4880356,place,0.02511
48113,4819000,place,0.927893
48113,4861796,place,0.641849
48113,4829000,place,0.999459
48113,4813024,place,0.379217
48113,4847892,place,0.99077
48113,4801240,place,1.0
48113,4837000,place,1.0
48113,4842508,place,0.009095
48113,4830464,place,0.631628
48113,4820092,place,1.0
48113,4854444,place,0.070776
48113,4825752,place,0.000678
48113,4871156,place,1.0
48113,4863572,place,0.887201
48113,4830644,place,4.1e-05
48157,4856348,place,0.045978
48157,4835000,place,0.015311
48157,4848804,place,0.933962
48157,4838476,place,0.23541
48201,4856348,place,0.074725
48201,4806128,place,0.951077
48201,4835000,place,0.980325
48201,4848804,place,0.066038
48201,4869908,place,0.012663
48201,4827648,place,0.224916
48201,4841980,place,0.012646
48201,4856000,place,1.0
48201,4850376,place,1.0
48201,4871960,place,1.0
48201,4823164,place,1.0
48201,4877956,place,1.0
48201,4869272,place,1.0
48201,4807300,place,1.0
48201,4835480,place,1.0
48201,4857800,place,1.0
48201,4833068,place,1.0
48201,4811300,place,1.0
48201,4834148,place,1.0
48201,4869830,place,1.0
48201,4837612,place,1.0
48201,4876228,place,0.283815
48201,4873316,place,1.0
48215,4848768,place,1.0
48215,4845384,place,1.0
48215,4857200,place,1.0
48215,4822660,place,1.0
48339,4835000,place,0.004364
48339,4815436,place,0.062769
48339,4867400,place,1.0
48339,4853190,place,1.0
48439,4830464,place,0.368332
48439,4873710,place,0.06672
48439,4826232,place,0.018396
48439,4862504,place,0.000435
48439,4877620,place,0.998611
48439,4827000,place,0.977448
48439,4861604,place,0.003726
48439,4822588,place,1.0
48439,4804000,place,1.0
48439,4877788,place,1.0
48453,4823044,place,0.239054
48453,4850200,place,0.48368
48453,4805000,place,0.938446
48453,4863008,place,1.0
48453,4871324,place,1.0
48453,4846440,place,1.0
48453,4813552,place,0.084125
48453,4842016,place,0.136166
48453,4838020,place,1.0
48453,4857176,place,0.998433
48453,4863500,place,0.02122
48491,4805732,place,0.601695
48491,4805000,place,0.060927
48491,4872776,place,0.001634
48491,4857176,place,0.001567
48491,4863500,place,0.97878
49035,4967000,place,1.0
49035,4967440,place,1.0
49035,4970850,place,1.0
49035,4975360,place,1.0
49035,4982950,place,1.0
49035,4983470,place,1.0
49049,4920120,place,0.05151
49049,4944320,place,1.0
49049,4935190,place,1.0
53011,5374060,place,1.0
53033,5363000,place,1.0
53033,5335415,place,1.0
53033,5303180,place,0.882053
53033,5323515,place,1.0
53033,5346020,place,0.186555
53035,5307695,place,1.0
53053,5303180,place,0.117947
53053,5352495,place,0.009149
53053,5370000,place,1.0
53053,5338038,place,1.0
53061,5307380,place,0.370959
53061,5322640,place,1.0
53061,5307940,place,1.0
53061,5343955,place,1.0
53063,5367000,place,1.0
53067,5351300,place,1.0
55025,5502522575,cousub,1.0
55025,5502518725,cousub,1.0
55079,5507953000,cousub,1.0
55079,5507968325,cousub,1.0
55079,5507984675,cousub,1.0
55079,5507985300,cousub,1.0
55133,5513384275,cousub,1.0
55133,5513382575,cousub,1.0
55133,5513321450,cousub,1.0
55133,5513360700,cousub,1.0
55133,5513340750,cousub,1.0
