geoid,name,state,type,geoid_type,cdbg_fy25
1254700,Panama,FL,Principal City,place,360009
1254725,Panama  Beach,FL,Principal City,place,105177
12101,Pasco County,FL,Urban County,county,3160581
1255775,Pembroke Pines,FL,Metro City,place,1125411
1255925,Pensacola,FL,Principal City,place,753536
12103,Pinellas County,FL,Urban County,county,2339516
1256975,Pinellas Park,FL,Metro City,place,361300
1257425,Plantation,FL,Metro City,place,630799
12105,Polk County,FL,Urban County,county,4234555
1258050,Pompano Beach,FL,Principal City,place,1024414
1258575,Port Orange,FL,Metro City,place,354806
1258715,Port St Lucie,FL,Principal City,place,1086454
1263650,Sanford,FL,Principal City,place,437753
1264175,Sarasota City,FL,Principal City,place,371559
12115,Sarasota County,FL,Urban County,county,1767490
1264825,Sebastian,FL,Principal City,place,116320
12117,Seminole County,FL,Urban County,county,2292412
1263000,St Petersburg,FL,Principal City,place,1744727
1262625,St. Cloud,FL,Metro City,place,345240
12109,St. Johns County,FL,Urban County,county,1138383
1269700,Sunrise,FL,Metro City,place,675995
1270600,Tallahassee,FL,Principal City,place,1880342
1270675,Tamarac,FL,Metro City,place,496342
1271000,Tampa,FL,Principal City,place,3057626
1271900,Titusville,FL,Principal City,place,280901
12127,Volusia County,FL,Urban County,county,1718768
1275812,Wellington,FL,Metro City,place,289551
1276600,West Palm Beach,FL,Principal City,place,970113
1301052,Albany,GA,Principal City,place,734345
13059,Athens-Clarke County,GA,Principal City,county,1221913
1304000,Atlanta,GA,Principal City,place,6602130
13245,Augusta-Richmond County,GA,Principal City,county,1686245
1310944,Brookhaven,GA,Metro City,place,349486
1311560,Brunswick,GA,Principal City,place,384717
13057,Cherokee County,GA,Urban County,county,1127016
13063,Clayton County,GA,Urban County,county,2461457
13067,Cobb County,GA,Urban County,county,3420467
13215,Columbus-Muscogee County,GA,Principal City,county,1690979
1321380,Dalton,GA,Principal City,place,312286
13089,De Kalb County,GA,Urban County,county,4639475
13121,Fulton County,GA,Urban County,county,1254161
1331908,Gainesville,GA,Principal City,place,406937
13135,Gwinnett County,GA,Urban County,county,5816102
13151,Henry County,GA,Urban County,county,1175509
1338964,Hinesville,GA,Principal City,place,254726
1342425,Johns Creek,GA,Metro City,place,307314
