geoid,safmr_median,n_zips
4513330,2080.0,73
4570270,1790.0,43
4530850,1500.0,81
4501360,1010.0,30
4561405,1610.0,38
4500550,1180.0,26
4534045,1950.0,17
1367284,2220.0,48
1342425,2340.0,42
1349756,2010.0,62
1304000,1990.0,344
1368516,2350.0,58
1366668,1190.0,32
1372122,1650.0,91
1310944,2360.0,35
1331908,1445.0,50
1321380,1100.0,31
1380508,1370.0,64
1349008,1170.0,94
1338964,1290.0,17
1369000,1560.0,117
1311560,1170.0,9
1378800,1210.0,40
1301052,1035.0,44
1225175,1490.0,94
1254200,1740.0,30
1216525,1650.0,56
1258575,1760.0,31
1270600,1380.0,120
1254700,1590.0,39
1254725,1720.0,16
1255925,1550.0,48
1215475,1440.0,12
1224475,1490.0,23
1253000,1950.0,176
1217200,1840.0,49
1263650,1800.0,32
1271900,1430.0,28
1236950,1880.0,28
1243975,1670.0,53
1254000,1670.0,47
1213150,1470.0,17
1264825,1730.0,17
1230000,2190.0,85
1232000,2270.0,60
1224000,2330.0,124
1245060,2240.0,54
1255775,2770.0,50
1245975,2370.0,29
1216475,2810.0,53
1232275,2100.0,45
1249450,2120.0,38
1258050,2320.0,44
1214400,2730.0,33
1216725,2380.0,32
1270675,2390.0,27
1245000,2330.0,241
1245025,2960.0,37
1239550,2180.0,20
1257425,2510.0,34
1269700,2805.0,30
1276600,2115.0,56
1254075,2650.0,36
1235875,2430.0,25
1275812,2790.0,19
1207875,2410.0,52
1207300,2750.0,53
1217100,2240.0,33
1271000,2030.0,197
1263000,2090.0,161
1256975,1970.0,43
1212875,1930.0,73
1239425,1880.0,74
1238250,1340.0,75
1224125,1820.0,49
1210275,1950.0,79
1207950,1670.0,47
1264175,1970.0,45
1250750,1310.0,63
1262625,1915.0,20
1224300,1420.0,39
1258715,1955.0,56
0107000,1170.0,257
0105980,1130.0,48
0177256,1105.0,102
0137000,1300.0,172
0120104,950.0,39
0126896,970.0,27
0128696,930.0,42
0151000,1040.0,125
0101852,990.0,39
0121184,880.0,63
0150000,1090.0,156
0157048,1080.0,34
0103076,1170.0,54
4715160,1240.0,55
4769420,1800.0,38
4751560,1870.0,70
4728540,1540.0,26
4770580,2220.0,30
4727740,2440.0,38
4715400,1240.0,42
4714000,1520.0,121
4738320,1200.0,72
4739560,1050.0,66
4708540,1040.0,25
4755120,1390.0,31
4740000,1600.0,161
4750280,1080.0,32
4748000,1360.0,347
4737640,1140.0,48
2836000,1200.0,125
2831020,1065.0,40
2829700,1130.0,50
2806220,1100.0,37
2849240,1080.0,19
2855360,1020.0,17
2124274,1140.0,26
2146027,1200.0,152
2117848,1190.0,43
2102368,980.0,18
2158836,1035.0,26
2108902,1120.0,44
2137918,1130.0,26
2135866,970.0,27
2158620,1150.0,28
3918000,1415.0,456
3954040,1180.0,27
3974118,1100.0,56
