Jurisdiction,State,lat,lon,Outcome,CDBG ($),Adjustment ($),Net homes added
Long Beach,CA,33.780791,-118.16818,Exempt — recent disaster,4923908,0,8.0
Los Angeles,CA,34.019394,-118.410825,Exempt — recent disaster,48007436,0,17298.0
Los Angeles County,CA,34.196398,-118.261862,Exempt — recent disaster,19508115,0,3001.0
Lynwood,CA,33.923959,-118.201655,Exempt — recent disaster,946233,0,68.0
Madera,CA,36.965774,-120.08616,Exempt — recent disaster,989791,0,19.0
Marin County,CA,38.051367,-122.746396,Exempt — recent disaster,1512738,0,256.0
Menifee,CA,33.689858,-117.184383,Exempt — recent disaster,630907,0,1309.0
Merced,CA,37.305721,-120.477907,Exempt — recent disaster,1089413,0,550.0
Milpitas,CA,37.433136,-121.890934,Exempt — recent disaster,555374,0,277.0
Mission Viejo,CA,33.609335,-117.656471,Exempt — recent disaster,389068,0,-75.0
Modesto,CA,37.637533,-121.003049,Exempt — recent disaster,1898921,0,227.0
Montebello,CA,34.015444,-118.111012,Exempt — recent disaster,628319,0,39.0
Monterey,CA,36.601193,-121.88311,Exempt — recent disaster,248442,0,376.0
Monterey County,CA,36.240104,-121.315578,Exempt — recent disaster,1361629,0,468.0
Monterey Park,CA,34.04838,-118.133165,Exempt — recent disaster,563008,0,53.0
Moreno Valley,CA,33.923253,-117.205685,Exempt — recent disaster,1954015,0,727.0
Mountain View,CA,37.399686,-122.079269,Exempt — recent disaster,617916,0,688.0
Napa City,CA,38.297872,-122.300741,Exempt — recent disaster,591772,0,47.0
National,CA,32.665862,-117.097361,Exempt — recent disaster,700241,0,631.0
Newport Beach,CA,33.597332,-117.890352,Exempt — recent disaster,402015,0,-58.0
Norwalk,CA,33.9076,-118.083453,Exempt — recent disaster,940871,0,358.0
Oakland,CA,37.769846,-122.22569,Exempt — recent disaster,7412561,0,3866.0
Oceanside,CA,33.224601,-117.306291,Exempt — recent disaster,1236259,0,253.0
Ontario,CA,34.037648,-117.604433,Exempt — recent disaster,1839944,0,1015.0
Orange,CA,33.786971,-117.861265,Exempt — recent disaster,1010888,0,405.0
Orange County,CA,33.675687,-117.777207,Exempt — recent disaster,3467220,0,1323.0
Oxnard,CA,34.199436,-119.207515,Exempt — recent disaster,2074781,0,819.0
Palm Springs,CA,33.803361,-116.53828,Exempt — recent disaster,350999,0,-146.0
Palmdale,CA,34.591038,-118.105403,Exempt — recent disaster,1407911,0,-38.0
Palo Alto,CA,37.39652,-122.143088,Exempt — recent disaster,516233,0,137.0
Paradise,CA,39.754192,-121.6064,Exempt — recent disaster,47069,0,218.0
Paramount,CA,33.898883,-118.166629,Exempt — recent disaster,701752,0,188.0
Pasadena,CA,34.160602,-118.137954,Exempt — recent disaster,2147455,0,350.0
Perris,CA,33.789849,-117.222171,Exempt — recent disaster,940237,0,12.0
Petaluma,CA,38.242251,-122.628769,Exempt — recent disaster,306305,0,265.0
Pico Rivera,CA,33.989524,-118.089295,Exempt — recent disaster,611687,0,71.0
Pittsburg,CA,38.016771,-121.896948,Exempt — recent disaster,652097,0,210.0
Pleasanton,CA,37.667185,-121.88123,Exempt — recent disaster,381455,0,312.0
Pomona,CA,34.058494,-117.761091,Exempt — recent disaster,1690554,0,606.0
Porterville,CA,36.063542,-119.0336,Exempt — recent disaster,653932,0,146.0
Rancho Cordova,CA,38.577079,-121.236187,Exempt — recent disaster,677844,0,619.0
Rancho Cucamonga,CA,34.130306,-117.566067,Exempt — recent disaster,1045705,0,985.0
Rancho Santa Margarita,CA,33.632332,-117.599008,Exempt — recent disaster,213967,0,74.0
Redding,CA,40.570277,-122.366766,Exempt — recent disaster,677110,0,470.0
Redondo Beach,CA,33.849538,-118.400755,Exempt — recent disaster,295609,0,-84.0
Redwood,CA,37.515274,-122.213672,Exempt — recent disaster,654563,0,-199.0
Rialto,CA,34.117419,-117.389215,Exempt — recent disaster,1131371,0,63.0
